rank,name,year,rating,age_rating,run_time
238,Cool Hand Luke,1967,8.1,PG,127
239,The Handmaiden,2016,8.1,G,145
240,The 400 Blows,1959,8.1,G,99
241,The Sound of Music,1965,8.1,G,172
242,It Happened One Night,1934,8.1,G,105
243,Persona,1966,8.1,G,83
244,Life of Brian,1979,8,R,94
245,The Iron Giant,1999,8.1,PG,86
246,The Help,2011,8.1,PG-13,146
247,Dersu Uzala,1975,8.2,G,142
248,Aladdin,1992,8,G,90
249,Gandhi,1982,8,PG,191
250,Dances with Wolves,1990,8,PG-13,181
